agent,slug,asset_path,source_url,has_local_asset
astra,astra,/assets/agents/astra.png,,True
breach,breach,/assets/agents/breach.png,,True
brimstone,brimstone,/assets/agents/brimstone.png,,True
chamber,chamber,/assets/agents/chamber.png,,True
clove,clove,/assets/agents/clove.png,,True
cypher,cypher,/assets/agents/cypher.png,,True
deadlock,deadlock,/assets/agents/deadlock.png,,True
fade,fade,/assets/agents/fade.png,,True
gekko,gekko,/assets/agents/gekko.png,,True
harbor,harbor,/assets/agents/harbor.png,,True
iso,iso,/assets/agents/iso.png,,True
jett,jett,/assets/agents/jett.png,,True
kayo,kayo,,,False
killjoy,killjoy,/assets/agents/killjoy.png,,True
miks,miks,/assets/agents/miks.png,,True
neon,neon,/assets/agents/neon.png,,True
omen,omen,/assets/agents/omen.png,,True
phoenix,phoenix,/assets/agents/phoenix.png,,True
raze,raze,/assets/agents/raze.png,,True
reyna,reyna,/assets/agents/reyna.png,,True
sage,sage,/assets/agents/sage.png,,True
skye,skye,/assets/agents/skye.png,,True
sova,sova,/assets/agents/sova.png,,True
tejo,tejo,/assets/agents/tejo.png,,True
veto,veto,/assets/agents/veto.png,,True
viper,viper,/assets/agents/viper.png,,True
vyse,vyse,/assets/agents/vyse.png,,True
waylay,waylay,/assets/agents/waylay.png,,True
yoru,yoru,/assets/agents/yoru.png,,True
