map,maps_played,events_count,atk_win_rate,def_win_rate,agent,pick_rate
All Maps,265.0,4.0,0.52,0.48,neon,0.82
All Maps,265.0,4.0,0.52,0.48,omen,0.5
All Maps,265.0,4.0,0.52,0.48,viper,0.5
All Maps,265.0,4.0,0.52,0.48,fade,0.35
All Maps,265.0,4.0,0.52,0.48,skye,0.33
All Maps,265.0,4.0,0.52,0.48,waylay,0.32
All Maps,265.0,4.0,0.52,0.48,astra,0.25
All Maps,265.0,4.0,0.52,0.48,sova,0.25
All Maps,265.0,4.0,0.52,0.48,cypher,0.23
All Maps,265.0,4.0,0.52,0.48,brimstone,0.22
All Maps,265.0,4.0,0.52,0.48,raze,0.19
All Maps,265.0,4.0,0.52,0.48,phoenix,0.16
All Maps,265.0,4.0,0.52,0.48,killjoy,0.13
All Maps,265.0,4.0,0.52,0.48,vyse,0.13
All Maps,265.0,4.0,0.52,0.48,chamber,0.12
All Maps,265.0,4.0,0.52,0.48,jett,0.1
All Maps,265.0,4.0,0.52,0.48,tejo,0.09
All Maps,265.0,4.0,0.52,0.48,kayo,0.07
All Maps,265.0,4.0,0.52,0.48,harbor,0.06
All Maps,265.0,4.0,0.52,0.48,breach,0.05
All Maps,265.0,4.0,0.52,0.48,veto,0.04
All Maps,265.0,4.0,0.52,0.48,deadlock,0.02
All Maps,265.0,4.0,0.52,0.48,sage,0.02
All Maps,265.0,4.0,0.52,0.48,gekko,0.01
All Maps,265.0,4.0,0.52,0.48,iso,0.01
All Maps,265.0,4.0,0.52,0.48,clove,0.0
All Maps,265.0,4.0,0.52,0.48,miks,0.0
All Maps,265.0,4.0,0.52,0.48,reyna,0.0
All Maps,265.0,4.0,0.52,0.48,yoru,0.0
Bind,32.0,4.0,0.53,0.47,brimstone,0.92
Bind,32.0,4.0,0.53,0.47,viper,0.91
Bind,32.0,4.0,0.53,0.47,skye,0.9
Bind,32.0,4.0,0.53,0.47,neon,0.89
Bind,32.0,4.0,0.53,0.47,waylay,0.59
Bind,32.0,4.0,0.53,0.47,chamber,0.13
Bind,32.0,4.0,0.53,0.47,raze,0.12
Bind,32.0,4.0,0.53,0.47,phoenix,0.09
Bind,32.0,4.0,0.53,0.47,fade,0.07
Bind,32.0,4.0,0.53,0.47,astra,0.06
Bind,32.0,4.0,0.53,0.47,gekko,0.06
Bind,32.0,4.0,0.53,0.47,kayo,0.05
Bind,32.0,4.0,0.53,0.47,vyse,0.05
Bind,32.0,4.0,0.53,0.47,omen,0.03
Bind,32.0,4.0,0.53,0.47,tejo,0.03
Bind,32.0,4.0,0.53,0.47,cypher,0.02
Bind,32.0,4.0,0.53,0.47,deadlock,0.02
Bind,32.0,4.0,0.53,0.47,harbor,0.02
Bind,32.0,4.0,0.53,0.47,jett,0.02
Bind,32.0,4.0,0.53,0.47,miks,0.02
Bind,32.0,4.0,0.53,0.47,yoru,0.02
Bind,32.0,4.0,0.53,0.47,breach,0.0
Bind,32.0,4.0,0.53,0.47,clove,0.0
Bind,32.0,4.0,0.53,0.47,iso,0.0
Bind,32.0,4.0,0.53,0.47,killjoy,0.0
Bind,32.0,4.0,0.53,0.47,reyna,0.0
Bind,32.0,4.0,0.53,0.47,sage,0.0
Bind,32.0,4.0,0.53,0.47,sova,0.0
Bind,32.0,4.0,0.53,0.47,veto,0.0
Breeze,32.0,4.0,0.52,0.48,sova,0.88
Breeze,32.0,4.0,0.52,0.48,viper,0.87
Breeze,32.0,4.0,0.52,0.48,neon,0.66
Breeze,32.0,4.0,0.52,0.48,jett,0.47
Breeze,32.0,4.0,0.52,0.48,kayo,0.39
Breeze,32.0,4.0,0.52,0.48,astra,0.38
Breeze,32.0,4.0,0.52,0.48,harbor,0.36
Breeze,32.0,4.0,0.52,0.48,omen,0.34
Breeze,32.0,4.0,0.52,0.48,skye,0.17
Breeze,32.0,4.0,0.52,0.48,waylay,0.15
Breeze,32.0,4.0,0.52,0.48,phoenix,0.11
Breeze,32.0,4.0,0.52,0.48,chamber,0.08
Breeze,32.0,4.0,0.52,0.48,iso,0.06
Breeze,32.0,4.0,0.52,0.48,cypher,0.03
Breeze,32.0,4.0,0.52,0.48,sage,0.02
Breeze,32.0,4.0,0.52,0.48,tejo,0.02
Breeze,32.0,4.0,0.52,0.48,vyse,0.02
Breeze,32.0,4.0,0.52,0.48,breach,0.0
Breeze,32.0,4.0,0.52,0.48,brimstone,0.0
Breeze,32.0,4.0,0.52,0.48,clove,0.0
Breeze,32.0,4.0,0.52,0.48,deadlock,0.0
Breeze,32.0,4.0,0.52,0.48,fade,0.0
Breeze,32.0,4.0,0.52,0.48,gekko,0.0
Breeze,32.0,4.0,0.52,0.48,killjoy,0.0
Breeze,32.0,4.0,0.52,0.48,miks,0.0
Breeze,32.0,4.0,0.52,0.48,raze,0.0
Breeze,32.0,4.0,0.52,0.48,reyna,0.0
Breeze,32.0,4.0,0.52,0.48,veto,0.0
Breeze,32.0,4.0,0.52,0.48,yoru,0.0
Fracture,31.0,4.0,0.56,0.44,brimstone,0.9
Fracture,31.0,4.0,0.56,0.44,neon,0.88
Fracture,31.0,4.0,0.56,0.44,cypher,0.68
Fracture,31.0,4.0,0.56,0.44,waylay,0.48
Fracture,31.0,4.0,0.56,0.44,tejo,0.42
