event,map,maps_played,atk_win_rate,def_win_rate,agent,pick_rate
americas_stage_1,All Maps,41,0.5,0.5,neon,0.82
americas_stage_1,All Maps,41,0.5,0.5,viper,0.57
americas_stage_1,All Maps,41,0.5,0.5,omen,0.51
americas_stage_1,All Maps,41,0.5,0.5,sova,0.44
americas_stage_1,All Maps,41,0.5,0.5,fade,0.37
americas_stage_1,All Maps,41,0.5,0.5,vyse,0.34
americas_stage_1,All Maps,41,0.5,0.5,astra,0.3
americas_stage_1,All Maps,41,0.5,0.5,phoenix,0.2
americas_stage_1,All Maps,41,0.5,0.5,skye,0.18
americas_stage_1,All Maps,41,0.5,0.5,harbor,0.18
americas_stage_1,All Maps,41,0.5,0.5,raze,0.17
americas_stage_1,All Maps,41,0.5,0.5,killjoy,0.16
americas_stage_1,All Maps,41,0.5,0.5,chamber,0.15
americas_stage_1,All Maps,41,0.5,0.5,kayo,0.09
americas_stage_1,All Maps,41,0.5,0.5,brimstone,0.09
americas_stage_1,All Maps,41,0.5,0.5,jett,0.09
americas_stage_1,All Maps,41,0.5,0.5,tejo,0.07
americas_stage_1,All Maps,41,0.5,0.5,cypher,0.06
americas_stage_1,All Maps,41,0.5,0.5,waylay,0.06
americas_stage_1,All Maps,41,0.5,0.5,veto,0.05
americas_stage_1,All Maps,41,0.5,0.5,iso,0.04
americas_stage_1,All Maps,41,0.5,0.5,sage,0.04
americas_stage_1,All Maps,41,0.5,0.5,breach,0.02
americas_stage_1,All Maps,41,0.5,0.5,deadlock,0.01
americas_stage_1,All Maps,41,0.5,0.5,miks,0.0
americas_stage_1,All Maps,41,0.5,0.5,reyna,0.0
americas_stage_1,All Maps,41,0.5,0.5,gekko,0.0
americas_stage_1,All Maps,41,0.5,0.5,clove,0.0
americas_stage_1,All Maps,41,0.5,0.5,yoru,0.0
americas_stage_1,Haven,9,0.46,0.54,neon,0.94
americas_stage_1,Haven,9,0.46,0.54,viper,0.56
americas_stage_1,Haven,9,0.46,0.54,omen,0.83
americas_stage_1,Haven,9,0.46,0.54,sova,0.83
