event,raw_map,raw_maps_played,raw_atk_win_rate,raw_def_win_rate,agent,raw_pick_rate
americas_stage_1,,41,50%,50%,neon,82%
americas_stage_1,,41,50%,50%,viper,57%
americas_stage_1,,41,50%,50%,omen,51%
americas_stage_1,,41,50%,50%,sova,44%
americas_stage_1,,41,50%,50%,fade,37%
americas_stage_1,,41,50%,50%,vyse,34%
americas_stage_1,,41,50%,50%,astra,30%
americas_stage_1,,41,50%,50%,phoenix,20%
americas_stage_1,,41,50%,50%,skye,18%
americas_stage_1,,41,50%,50%,harbor,18%
americas_stage_1,,41,50%,50%,raze,17%
americas_stage_1,,41,50%,50%,killjoy,16%
americas_stage_1,,41,50%,50%,chamber,15%
americas_stage_1,,41,50%,50%,kayo,9%
americas_stage_1,,41,50%,50%,brimstone,9%
americas_stage_1,,41,50%,50%,jett,9%
americas_stage_1,,41,50%,50%,tejo,7%
americas_stage_1,,41,50%,50%,cypher,6%
americas_stage_1,,41,50%,50%,waylay,6%
americas_stage_1,,41,50%,50%,veto,5%
americas_stage_1,,41,50%,50%,iso,4%
americas_stage_1,,41,50%,50%,sage,4%
americas_stage_1,,41,50%,50%,breach,2%
americas_stage_1,,41,50%,50%,deadlock,1%
americas_stage_1,,41,50%,50%,miks,0%
americas_stage_1,,41,50%,50%,reyna,0%
americas_stage_1,,41,50%,50%,gekko,0%
americas_stage_1,,41,50%,50%,clove,0%
americas_stage_1,,41,50%,50%,yoru,0%
americas_stage_1,H Haven,9,46%,54%,neon,94%
americas_stage_1,H Haven,9,46%,54%,viper,56%
americas_stage_1,H Haven,9,46%,54%,omen,83%
americas_stage_1,H Haven,9,46%,54%,sova,83%
americas_stage_1,H Haven,9,46%,54%,fade,17%
americas_stage_1,H Haven,9,46%,54%,vyse,17%
americas_stage_1,H Haven,9,46%,54%,astra,17%
americas_stage_1,H Haven,9,46%,54%,phoenix,44%
americas_stage_1,H Haven,9,46%,54%,skye,0%
americas_stage_1,H Haven,9,46%,54%,harbor,0%
americas_stage_1,H Haven,9,46%,54%,raze,0%
americas_stage_1,H Haven,9,46%,54%,killjoy,44%
americas_stage_1,H Haven,9,46%,54%,chamber,17%
americas_stage_1,H Haven,9,46%,54%,kayo,0%
americas_stage_1,H Haven,9,46%,54%,brimstone,0%
americas_stage_1,H Haven,9,46%,54%,jett,6%
americas_stage_1,H Haven,9,46%,54%,tejo,0%
americas_stage_1,H Haven,9,46%,54%,cypher,22%
