map,agent,maps_played,events_count,pick_rate,atk_side_rate,def_side_rate,agent_picks,total_compositions,pick_rate_from_comps,side_delta,sample_confidence,observed,agent_presence_score
All Maps,neon,696.0,4.0,0.8105747126436783,0.5122126436781609,0.4879597701149425,376.0,464.0,0.8103,0.0243,1.0,True,84.84
All Maps,omen,696.0,4.0,0.5063362068965518,0.5122126436781609,0.4879597701149425,235.0,464.0,0.5065,0.0243,1.0,True,60.51
All Maps,viper,696.0,4.0,0.4952011494252873,0.5122126436781609,0.4879597701149425,230.0,464.0,0.4957,0.0243,1.0,True,59.63
All Maps,waylay,696.0,4.0,0.36056034482758625,0.5122126436781609,0.4879597701149425,167.0,464.0,0.3599,0.0243,1.0,True,48.83
All Maps,fade,696.0,4.0,0.35882183908045984,0.5122126436781609,0.4879597701149425,166.0,464.0,0.3578,0.0243,1.0,True,48.69
All Maps,skye,696.0,4.0,0.33456896551724136,0.5122126436781609,0.4879597701149425,155.0,464.0,0.3341,0.0243,1.0,True,46.76
All Maps,astra,696.0,4.0,0.25227011494252877,0.5122126436781609,0.4879597701149425,117.0,464.0,0.2522,0.0243,1.0,True,40.18
All Maps,sova,696.0,4.0,0.24270114942528734,0.5122126436781609,0.4879597701149425,113.0,464.0,0.2435,0.0243,1.0,True,39.43
All Maps,cypher,696.0,4.0,0.23373563218390803,0.5122126436781609,0.4879597701149425,108.0,464.0,0.2328,0.0243,1.0,True,38.68
All Maps,brimstone,696.0,4.0,0.2241522988505747,0.5122126436781609,0.4879597701149425,104.0,464.0,0.2241,0.0243,1.0,True,37.93
All Maps,raze,696.0,4.0,0.1724425287356322,0.5122126436781609,0.4879597701149425,80.0,464.0,0.1724,0.0243,1.0,True,33.79
All Maps,phoenix,696.0,4.0,0.15698275862068967,0.5122126436781609,0.4879597701149425,73.0,464.0,0.1573,0.0243,1.0,True,32.56
All Maps,killjoy,696.0,4.0,0.13553160919540233,0.5122126436781609,0.4879597701149425,63.0,464.0,0.1358,0.0243,1.0,True,30.85
All Maps,chamber,696.0,4.0,0.12589080459770113,0.5122126436781609,0.4879597701149425,59.0,464.0,0.1272,0.0243,1.0,True,30.1
All Maps,vyse,696.0,4.0,0.12372126436781607,0.5122126436781609,0.4879597701149425,57.0,464.0,0.1228,0.0243,1.0,True,29.88
All Maps,tejo,696.0,4.0,0.09530172413793103,0.5122126436781609,0.4879597701149425,44.0,464.0,0.0948,0.0243,1.0,True,27.61
All Maps,jett,696.0,4.0,0.09251436781609196,0.5122126436781609,0.4879597701149425,43.0,464.0,0.0927,0.0243,1.0,True,27.4
All Maps,kayo,696.0,4.0,0.06545977011494253,0.5122126436781609,0.4879597701149425,30.0,464.0,0.0647,0.0243,1.0,True,25.22
All Maps,breach,696.0,4.0,0.05768678160919541,0.5122126436781609,0.4879597701149425,27.0,464.0,0.0582,0.0243,1.0,True,24.63
All Maps,harbor,696.0,4.0,0.050689655172413806,0.5122126436781609,0.4879597701149425,23.0,464.0,0.0496,0.0243,1.0,True,24.03
All Maps,veto,696.0,4.0,0.04783045977011495,0.5122126436781609,0.4879597701149425,22.0,464.0,0.0474,0.0243,1.0,True,23.82
All Maps,deadlock,696.0,4.0,0.02420977011494253,0.5122126436781609,0.4879597701149425,11.0,464.0,0.0237,0.0243,1.0,True,21.93
All Maps,sage,696.0,4.0,0.013764367816091952,0.5122126436781609,0.4879597701149425,6.0,464.0,0.0129,0.0243,1.0,True,21.08
All Maps,iso,696.0,4.0,0.009166666666666668,0.5122126436781609,0.4879597701149425,4.0,464.0,0.0086,0.0243,1.0,True,20.72
All Maps,gekko,696.0,4.0,0.008563218390804596,0.5122126436781609,0.4879597701149425,4.0,464.0,0.0086,0.0243,1.0,True,20.69
All Maps,miks,696.0,4.0,0.0039942528735632185,0.5122126436781609,0.4879597701149425,2.0,464.0,0.0043,0.0243,1.0,True,20.33
All Maps,yoru,696.0,4.0,0.0022126436781609196,0.5122126436781609,0.4879597701149425,1.0,464.0,0.0022,0.0243,1.0,True,20.18
All Maps,clove,696.0,4.0,0.0,0.5122126436781609,0.4879597701149425,,,,0.0243,1.0,True,20.0
All Maps,reyna,696.0,4.0,0.0,0.5122126436781609,0.4879597701149425,,,,0.0243,1.0,True,20.0
Bind,brimstone,30.0,4.0,0.9316666666666665,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,75.9
Bind,viper,30.0,4.0,0.9013333333333333,0.5236666666666667,0.47633333333333333,,,,0.0473,1.0,True,74.08
