map,agent_a,agent_b,pair_picks,teams_count,events_count,total_compositions,pair_pick_rate,agent_a_rate,agent_b_rate,synergy_lift,observed
BIND,astra,chamber,3,2,2,60,0.05,0.0667,0.1333,5.624,True
BIND,neon,phoenix,5,3,2,60,0.0833,0.8833,0.0833,1.133,True
BIND,phoenix,viper,5,3,2,60,0.0833,0.0833,0.9,1.112,True
BIND,astra,skye,4,3,3,60,0.0667,0.0667,0.9,1.111,True
BIND,fade,viper,4,4,4,60,0.0667,0.0667,0.9,1.111,True
BIND,viper,vyse,3,3,2,60,0.05,0.9,0.05,1.111,True
BIND,brimstone,phoenix,5,3,2,60,0.0833,0.9333,0.0833,1.072,True
BIND,brimstone,fade,4,4,4,60,0.0667,0.9333,0.0667,1.071,True
BIND,brimstone,gekko,4,4,3,60,0.0667,0.9333,0.0667,1.071,True
BIND,brimstone,kayo,3,3,2,60,0.05,0.9333,0.05,1.071,True
BIND,brimstone,vyse,3,3,2,60,0.05,0.9333,0.05,1.071,True
BIND,chamber,skye,7,6,4,60,0.1167,0.1333,0.9,0.972,True
BIND,raze,viper,5,5,3,60,0.0833,0.1,0.9,0.926,True
BIND,brimstone,raze,5,5,3,60,0.0833,0.9333,0.1,0.893,True
BIND,phoenix,skye,4,2,2,60,0.0667,0.0833,0.9,0.889,True
BIND,chamber,neon,6,5,4,60,0.1,0.1333,0.8833,0.849,True
BIND,astra,neon,3,2,2,60,0.05,0.0667,0.8833,0.849,True
BIND,chamber,viper,6,5,4,60,0.1,0.1333,0.9,0.834,True
BIND,astra,viper,3,2,2,60,0.05,0.0667,0.9,0.833,True
BIND,gekko,viper,3,3,2,60,0.05,0.0667,0.9,0.833,True
BIND,brimstone,chamber,5,4,4,60,0.0833,0.9333,0.1333,0.67,True
BIND,neon,waylay,21,17,3,60,0.35,0.8833,0.6167,0.643,True
BIND,skye,waylay,21,19,3,60,0.35,0.9,0.6167,0.631,True
BIND,viper,waylay,21,17,3,60,0.35,0.9,0.6167,0.631,True
BIND,neon,skye,29,26,4,60,0.4833,0.8833,0.9,0.608,True
BIND,neon,viper,29,26,4,60,0.4833,0.8833,0.9,0.608,True
BIND,brimstone,waylay,21,18,3,60,0.35,0.9333,0.6167,0.608,True
BIND,brimstone,neon,30,27,4,60,0.5,0.9333,0.8833,0.607,True
BIND,brimstone,viper,30,28,4,60,0.5,0.9333,0.9,0.595,True
BIND,skye,viper,28,25,4,60,0.4667,0.9,0.9,0.576,True
BIND,brimstone,skye,29,25,4,60,0.4833,0.9333,0.9,0.575,True
BIND,neon,raze,3,2,2,60,0.05,0.8833,0.1,0.566,True
BIND,raze,skye,3,3,2,60,0.05,0.1,0.9,0.556,True
BREEZE,harbor,iso,3,3,2,48,0.0625,0.3333,0.0625,3.0,True
BREEZE,chamber,omen,3,3,2,48,0.0625,0.0833,0.3542,2.118,True
BREEZE,astra,waylay,8,3,1,48,0.1667,0.3958,0.2083,2.022,True
BREEZE,omen,skye,5,3,2,48,0.1042,0.3542,0.1458,2.017,True
BREEZE,chamber,neon,4,4,2,48,0.0833,0.0833,0.625,1.601,True
BREEZE,neon,skye,7,3,2,48,0.1458,0.625,0.1458,1.6,True
BREEZE,iso,neon,3,3,2,48,0.0625,0.0625,0.625,1.6,True
BREEZE,jett,kayo,14,11,4,48,0.2917,0.5,0.3958,1.474,True
BREEZE,neon,waylay,9,3,1,48,0.1875,0.625,0.2083,1.44,True
BREEZE,harbor,kayo,8,7,4,48,0.1667,0.3333,0.3958,1.263,True
BREEZE,chamber,viper,4,4,2,48,0.0833,0.0833,0.875,1.143,True
BREEZE,phoenix,sova,4,2,2,48,0.0833,0.0833,0.875,1.143,True
BREEZE,phoenix,viper,4,2,2,48,0.0833,0.0833,0.875,1.143,True
BREEZE,iso,sova,3,3,2,48,0.0625,0.0625,0.875,1.143,True
BREEZE,iso,viper,3,3,2,48,0.0625,0.0625,0.875,1.143,True
BREEZE,astra,kayo,8,6,4,48,0.1667,0.3958,0.3958,1.064,True
BREEZE,jett,omen,9,6,3,48,0.1875,0.5,0.3542,1.059,True
BREEZE,neon,omen,11,10,4,48,0.2292,0.625,0.3542,1.035,True
BREEZE,kayo,sova,16,14,4,48,0.3333,0.3958,0.875,0.962,True
BREEZE,jett,sova,20,16,4,48,0.4167,0.5,0.875,0.952,True
BREEZE,astra,jett,9,7,4,48,0.1875,0.3958,0.5,0.947,True
BREEZE,harbor,neon,9,7,4,48,0.1875,0.3333,0.625,0.9,True
BREEZE,harbor,jett,7,5,4,48,0.1458,0.3333,0.5,0.875,True
BREEZE,omen,viper,13,11,4,48,0.2708,0.3542,0.875,0.874,True
BREEZE,jett,viper,18,14,4,48,0.375,0.5,0.875,0.857,True
BREEZE,harbor,sova,12,12,4,48,0.25,0.3333,0.875,0.857,True
BREEZE,chamber,sova,3,3,2,48,0.0625,0.0833,0.875,0.857,True
BREEZE,kayo,viper,14,12,4,48,0.2917,0.3958,0.875,0.842,True
BREEZE,omen,sova,12,10,4,48,0.25,0.3542,0.875,0.807,True
BREEZE,neon,viper,21,18,4,48,0.4375,0.625,0.875,0.8,True
BREEZE,harbor,viper,11,10,4,48,0.2292,0.3333,0.875,0.786,True
BREEZE,astra,neon,9,5,2,48,0.1875,0.3958,0.625,0.758,True
BREEZE,neon,sova,18,18,4,48,0.375,0.625,0.875,0.686,True
BREEZE,viper,waylay,6,3,1,48,0.125,0.875,0.2083,0.686,True
BREEZE,astra,sova,11,10,4,48,0.2292,0.3958,0.875,0.662,True
