event,map,maps_played,avg_pick_rate,pick_rate_std,top_pick_rate,agents_count,meta_concentration,dominance_gap
americas_stage_1,Bind,2,0.1724137931034483,0.3141275352056617,1.0,29,0.3141,0.8276
americas_stage_1,Breeze,4,0.17275862068965517,0.2863426587614933,1.0,29,0.2863,0.8272
americas_stage_1,Fracture,1,0.1724137931034483,0.3347670317059931,1.0,29,0.3348,0.8276
americas_stage_1,Haven,8,0.17275862068965517,0.27936019442039517,0.94,29,0.2794,0.7672
americas_stage_1,Lotus,6,0.17206896551724138,0.3436087820092665,1.0,29,0.3436,0.8279
americas_stage_1,Pearl,7,0.17206896551724138,0.26866574174646335,1.0,29,0.2687,0.8279
americas_stage_1,Split,7,0.17172413793103447,0.2569751094883544,0.71,29,0.257,0.5383
china_stage_1,Bind,14,0.17310344827586208,0.339012256924182,0.96,29,0.339,0.7869
china_stage_1,Breeze,12,0.17310344827586205,0.2631417793872977,0.88,29,0.2631,0.7069
china_stage_1,Fracture,12,0.17206896551724138,0.3134186988489636,0.92,29,0.3134,0.7479
china_stage_1,Haven,11,0.1724137931034483,0.30291034944840634,1.0,29,0.3029,0.8276
china_stage_1,Lotus,18,0.1724137931034483,0.27676260033793,1.0,29,0.2768,0.8276
china_stage_1,Pearl,7,0.1724137931034483,0.3079268833948108,1.0,29,0.3079,0.8276
china_stage_1,Split,10,0.1724137931034483,0.34371557149577897,1.0,29,0.3437,0.8276
emea_stage_1,Bind,9,0.17275862068965517,0.32256667695802654,1.0,29,0.3226,0.8272
emea_stage_1,Breeze,6,0.1724137931034483,0.29922107417681515,1.0,29,0.2992,0.8276
emea_stage_1,Fracture,5,0.1724137931034483,0.221837378861405,0.8,29,0.2218,0.6276
emea_stage_1,Haven,11,0.17310344827586208,0.285983309306628,1.0,29,0.286,0.8269
emea_stage_1,Lotus,12,0.17206896551724138,0.3035078171545037,1.0,29,0.3035,0.8279
emea_stage_1,Pearl,9,0.17310344827586208,0.25047245996709994,1.0,29,0.2505,0.8269
emea_stage_1,Split,9,0.1724137931034483,0.3008636992347888,0.94,29,0.3009,0.7676
pacific_stage_1,Bind,5,0.1724137931034483,0.3069394446142407,0.9,29,0.3069,0.7276
pacific_stage_1,Breeze,2,0.1724137931034483,0.30693944461424066,1.0,29,0.3069,0.8276
pacific_stage_1,Fracture,9,0.1724137931034483,0.2876090497832803,1.0,29,0.2876,0.8276
pacific_stage_1,Haven,9,0.1724137931034483,0.24629620918743056,0.89,29,0.2463,0.7176
pacific_stage_1,Lotus,9,0.17310344827586205,0.3181767640824365,1.0,29,0.3182,0.8269
pacific_stage_1,Pearl,10,0.1724137931034483,0.25897676636571354,1.0,29,0.259,0.8276
pacific_stage_1,Split,8,0.17310344827586208,0.26652664632634854,0.88,29,0.2665,0.7069
