team,map,compositions,opponents,unique_comps,comp_diversity,map_volume_share,observed
100 Thieves,HAVEN,2,2,1,0.5,0.4,True
100 Thieves,BREEZE,1,1,1,1.0,0.2,True
100 Thieves,PEARL,1,1,1,1.0,0.2,True
100 Thieves,SPLIT,1,1,1,1.0,0.2,True
All Gamers,BIND,4,4,2,0.5,0.25,True
All Gamers,LOTUS,4,4,1,0.25,0.25,True
All Gamers,BREEZE,2,2,1,0.5,0.125,True
All Gamers,HAVEN,2,2,1,0.5,0.125,True
All Gamers,PEARL,2,2,2,1.0,0.125,True
All Gamers,SPLIT,2,2,1,0.5,0.125,True
BBL Esports,SPLIT,3,3,3,1.0,0.3,True
BBL Esports,BREEZE,2,2,2,1.0,0.2,True
BBL Esports,HAVEN,2,2,1,0.5,0.2,True
BBL Esports,LOTUS,2,2,1,0.5,0.2,True
BBL Esports,PEARL,1,1,1,1.0,0.1,True
Bilibili Gaming,FRACTURE,3,3,1,0.3333,0.2308,True
Bilibili Gaming,PEARL,3,3,1,0.3333,0.2308,True
Bilibili Gaming,BIND,2,2,2,1.0,0.1538,True
Bilibili Gaming,BREEZE,2,2,2,1.0,0.1538,True
Bilibili Gaming,LOTUS,2,2,1,0.5,0.1538,True
Bilibili Gaming,HAVEN,1,1,1,1.0,0.0769,True
Cloud9,HAVEN,2,2,1,0.5,0.4,True
Cloud9,PEARL,2,2,2,1.0,0.4,True
Cloud9,SPLIT,1,1,1,1.0,0.2,True
DetonatioN FocusMe,LOTUS,3,3,2,0.6667,0.3,True
DetonatioN FocusMe,PEARL,3,3,1,0.3333,0.3,True
DetonatioN FocusMe,BIND,2,2,1,0.5,0.2,True
DetonatioN FocusMe,FRACTURE,1,1,1,1.0,0.1,True
DetonatioN FocusMe,HAVEN,1,1,1,1.0,0.1,True
Dragon Ranger Gaming,BREEZE,5,5,2,0.4,0.3333,True
Dragon Ranger Gaming,LOTUS,4,4,2,0.5,0.2667,True
Dragon Ranger Gaming,BIND,2,2,2,1.0,0.1333,True
Dragon Ranger Gaming,HAVEN,2,2,1,0.5,0.1333,True
Dragon Ranger Gaming,PEARL,1,1,1,1.0,0.0667,True
Dragon Ranger Gaming,SPLIT,1,1,1,1.0,0.0667,True
EDward Gaming,LOTUS,4,4,1,0.25,0.2667,True
EDward Gaming,FRACTURE,3,3,1,0.3333,0.2,True
EDward Gaming,HAVEN,3,3,2,0.6667,0.2,True
EDward Gaming,BREEZE,2,2,1,0.5,0.1333,True
EDward Gaming,SPLIT,2,2,1,0.5,0.1333,True
EDward Gaming,BIND,1,1,1,1.0,0.0667,True
ENVY,PEARL,2,2,2,1.0,0.25,True
ENVY,BIND,1,1,1,1.0,0.125,True
ENVY,BREEZE,1,1,1,1.0,0.125,True
ENVY,FRACTURE,1,1,1,1.0,0.125,True
ENVY,HAVEN,1,1,1,1.0,0.125,True
ENVY,LOTUS,1,1,1,1.0,0.125,True
ENVY,SPLIT,1,1,1,1.0,0.125,True
Eternal Fire,LOTUS,3,3,2,0.6667,0.3,True
Eternal Fire,BIND,2,2,2,1.0,0.2,True
Eternal Fire,SPLIT,2,2,2,1.0,0.2,True
Eternal Fire,BREEZE,1,1,1,1.0,0.1,True
Eternal Fire,FRACTURE,1,1,1,1.0,0.1,True
Eternal Fire,PEARL,1,1,1,1.0,0.1,True
Evil Geniuses,HAVEN,2,2,1,0.5,0.4,True
Evil Geniuses,BREEZE,1,1,1,1.0,0.2,True
Evil Geniuses,LOTUS,1,1,1,1.0,0.2,True
Evil Geniuses,PEARL,1,1,1,1.0,0.2,True
FNATIC,BREEZE,3,3,2,0.6667,0.3,True
FNATIC,BIND,2,2,1,0.5,0.2,True
FNATIC,LOTUS,2,2,2,1.0,0.2,True
FNATIC,SPLIT,2,2,1,0.5,0.2,True
FNATIC,HAVEN,1,1,1,1.0,0.1,True
FULL SENSE,FRACTURE,2,2,1,0.5,0.2222,True
FULL SENSE,HAVEN,2,2,1,0.5,0.2222,True
FULL SENSE,PEARL,2,2,1,0.5,0.2222,True
FULL SENSE,BIND,1,1,1,1.0,0.1111,True
FULL SENSE,LOTUS,1,1,1,1.0,0.1111,True
FULL SENSE,SPLIT,1,1,1,1.0,0.1111,True
FURIA,HAVEN,2,2,2,1.0,0.2857,True
FURIA,LOTUS,2,2,1,0.5,0.2857,True
FURIA,PEARL,2,2,1,0.5,0.2857,True
FURIA,SPLIT,1,1,1,1.0,0.1429,True
FUT Esports,BIND,3,3,2,0.6667,0.2727,True
FUT Esports,HAVEN,3,3,3,1.0,0.2727,True
FUT Esports,BREEZE,1,1,1,1.0,0.0909,True
FUT Esports,FRACTURE,1,1,1,1.0,0.0909,True
FUT Esports,LOTUS,1,1,1,1.0,0.0909,True
FUT Esports,PEARL,1,1,1,1.0,0.0909,True
FUT Esports,SPLIT,1,1,1,1.0,0.0909,True
FunPlus Phoenix,PEARL,4,4,1,0.25,0.3077,True
FunPlus Phoenix,SPLIT,4,4,2,0.5,0.3077,True
FunPlus Phoenix,FRACTURE,2,2,1,0.5,0.1538,True
FunPlus Phoenix,LOTUS,2,2,1,0.5,0.1538,True
FunPlus Phoenix,BIND,1,1,1,1.0,0.0769,True
G2 Esports,SPLIT,2,2,2,1.0,0.2857,True
G2 Esports,BIND,1,1,1,1.0,0.1429,True
G2 Esports,BREEZE,1,1,1,1.0,0.1429,True
G2 Esports,HAVEN,1,1,1,1.0,0.1429,True
G2 Esports,LOTUS,1,1,1,1.0,0.1429,True
G2 Esports,PEARL,1,1,1,1.0,0.1429,True
GIANTX,HAVEN,4,4,1,0.25,0.3636,True
GIANTX,PEARL,2,2,1,0.5,0.1818,True
GIANTX,SPLIT,2,2,1,0.5,0.1818,True
