agent,maps_observed,total_maps_played,avg_pick_rate,max_pick_rate,avg_meta_presence_score,avg_map_dependence_score,max_map_dependence_score,cross_map_stability_score,sample_reliability_score,primary_map,global_agent_label
neon,7,232.0,0.8055,0.8974,0.6083,-0.0068,0.1162,0.7902,0.854,Haven,global_core_agent
waylay,7,232.0,0.369,0.616,0.4047,0.0114,0.3416,0.6447,0.854,Bind,situational_agent
viper,7,232.0,0.5036,0.9013,0.3468,0.0112,0.5431,0.0862,0.854,Bind,low_presence_agent
skye,7,232.0,0.349,0.8993,0.3364,0.0193,0.7554,0.3435,0.854,Bind,map_specialist_agent
clove,7,232.0,0.0,0.0,0.3281,0.0,0.0,1.0,0.854,Bind,low_presence_agent
reyna,7,232.0,0.0,0.0,0.3281,0.0,0.0,1.0,0.854,Bind,low_presence_agent
deadlock,7,232.0,0.0222,0.0508,0.328,-0.0027,0.0356,0.9554,0.854,Haven,low_presence_agent
sage,7,232.0,0.0136,0.0356,0.3269,-0.0003,0.0292,0.9667,0.854,Fracture,low_presence_agent
miks,7,232.0,0.0044,0.0187,0.3264,0.0006,0.0197,0.9826,0.854,Bind,low_presence_agent
yoru,7,232.0,0.0024,0.0167,0.3262,0.0003,0.0194,0.9858,0.854,Bind,low_presence_agent
chamber,7,232.0,0.1253,0.3639,0.3237,-0.0008,0.3183,0.7275,0.854,Pearl,low_presence_agent
iso,7,232.0,0.0105,0.0617,0.322,0.0018,0.0702,0.9483,0.854,Breeze,low_presence_agent
vyse,7,232.0,0.1072,0.3227,0.3214,-0.0222,0.266,0.7524,0.854,Lotus,low_presence_agent
veto,7,232.0,0.0472,0.1652,0.3206,-0.0007,0.157,0.8683,0.854,Fracture,low_presence_agent
gekko,7,232.0,0.0096,0.0673,0.3205,0.0014,0.0786,0.9428,0.854,Bind,low_presence_agent
phoenix,7,232.0,0.1496,0.3936,0.3132,-0.0099,0.3166,0.6265,0.854,Pearl,low_presence_agent
fade,7,232.0,0.3125,0.8787,0.3117,-0.062,0.6952,0.2934,0.854,Lotus,map_specialist_agent
raze,7,232.0,0.157,0.3993,0.311,-0.0207,0.3035,0.6003,0.854,Lotus,low_presence_agent
cypher,7,232.0,0.2291,0.6463,0.3076,-0.0062,0.5518,0.4393,0.854,Fracture,low_presence_agent
omen,7,232.0,0.4445,1.0,0.306,-0.0827,0.6603,0.0005,0.854,Lotus,map_specialist_agent
killjoy,7,232.0,0.1241,0.4267,0.3034,-0.0153,0.3893,0.6283,0.854,Pearl,low_presence_agent
harbor,7,232.0,0.0617,0.3367,0.2977,0.0147,0.3825,0.7246,0.854,Breeze,low_presence_agent
kayo,7,232.0,0.0822,0.3975,0.2966,0.0224,0.444,0.6782,0.854,Breeze,low_presence_agent
tejo,7,232.0,0.1068,0.4078,0.2965,0.0153,0.4179,0.6285,0.854,Fracture,low_presence_agent
jett,7,232.0,0.1094,0.4992,0.292,0.0225,0.5439,0.6011,0.854,Breeze,low_presence_agent
breach,7,232.0,0.0682,0.4259,0.2841,0.014,0.4924,0.6438,0.854,Fracture,low_presence_agent
astra,7,232.0,0.2689,1.0,0.2788,0.0223,1.0,0.2154,0.854,Pearl,map_specialist_agent
sova,7,232.0,0.261,0.875,0.2669,0.0244,0.8457,0.1719,0.854,Breeze,map_specialist_agent
brimstone,7,232.0,0.2603,0.9317,0.2322,0.0482,0.9462,0.0,0.854,Bind,map_specialist_agent
