map,agent_a,agent_b,pair_picks,teams_count,pair_pick_rate,agent_a_rate,agent_b_rate,synergy_lift,sample_reliability_score,pair_pattern_label
BIND,astra,chamber,3,2,0.05,0.0667,0.1333,5.624,0.2611,high_lift_low_sample
BIND,neon,phoenix,5,3,0.0833,0.8833,0.0833,1.133,0.3371,weak_signal
BIND,phoenix,viper,5,3,0.0833,0.0833,0.9,1.112,0.3371,weak_signal
BIND,astra,skye,4,3,0.0667,0.0667,0.9,1.111,0.3015,weak_signal
BIND,fade,viper,4,4,0.0667,0.0667,0.9,1.111,0.3015,weak_signal
BIND,viper,vyse,3,3,0.05,0.9,0.05,1.111,0.2611,weak_signal
BIND,brimstone,phoenix,5,3,0.0833,0.9333,0.0833,1.072,0.3371,weak_signal
BIND,brimstone,fade,4,4,0.0667,0.9333,0.0667,1.071,0.3015,weak_signal
BIND,brimstone,gekko,4,4,0.0667,0.9333,0.0667,1.071,0.3015,weak_signal
BIND,brimstone,kayo,3,3,0.05,0.9333,0.05,1.071,0.2611,weak_signal
BIND,brimstone,vyse,3,3,0.05,0.9333,0.05,1.071,0.2611,weak_signal
BIND,chamber,skye,7,6,0.1167,0.1333,0.9,0.972,0.3989,weak_signal
BIND,raze,viper,5,5,0.0833,0.1,0.9,0.926,0.3371,weak_signal
BIND,brimstone,raze,5,5,0.0833,0.9333,0.1,0.893,0.3371,weak_signal
BIND,phoenix,skye,4,2,0.0667,0.0833,0.9,0.889,0.3015,weak_signal
BIND,chamber,neon,6,5,0.1,0.1333,0.8833,0.849,0.3693,weak_signal
BIND,astra,neon,3,2,0.05,0.0667,0.8833,0.849,0.2611,weak_signal
BIND,chamber,viper,6,5,0.1,0.1333,0.9,0.834,0.3693,weak_signal
BIND,astra,viper,3,2,0.05,0.0667,0.9,0.833,0.2611,weak_signal
BIND,gekko,viper,3,3,0.05,0.0667,0.9,0.833,0.2611,weak_signal
BIND,brimstone,chamber,5,4,0.0833,0.9333,0.1333,0.67,0.3371,weak_signal
BIND,neon,waylay,21,17,0.35,0.8833,0.6167,0.643,0.6908,common_core_pair
BIND,skye,waylay,21,19,0.35,0.9,0.6167,0.631,0.6908,common_core_pair
BIND,viper,waylay,21,17,0.35,0.9,0.6167,0.631,0.6908,common_core_pair
BIND,neon,skye,29,26,0.4833,0.8833,0.9,0.608,0.8118,common_core_pair
BIND,neon,viper,29,26,0.4833,0.8833,0.9,0.608,0.8118,common_core_pair
BIND,brimstone,waylay,21,18,0.35,0.9333,0.6167,0.608,0.6908,common_core_pair
BIND,brimstone,neon,30,27,0.5,0.9333,0.8833,0.607,0.8257,common_core_pair
BIND,brimstone,viper,30,28,0.5,0.9333,0.9,0.595,0.8257,common_core_pair
BIND,skye,viper,28,25,0.4667,0.9,0.9,0.576,0.7977,common_core_pair
BIND,brimstone,skye,29,25,0.4833,0.9333,0.9,0.575,0.8118,common_core_pair
BIND,neon,raze,3,2,0.05,0.8833,0.1,0.566,0.2611,weak_signal
BIND,raze,skye,3,3,0.05,0.1,0.9,0.556,0.2611,weak_signal
