team,map,agents,times_used,teams_using_same_comp,maps_seen,composition_frequency,composition_uniqueness_score,composition_stability_label,sample_reliability_score
100 Thieves,BREEZE,"harbor,jett,kayo,sova,viper",1,4,1,1.0,0.7692,standard_meta_comp,0.4472
100 Thieves,HAVEN,"cypher,neon,omen,phoenix,sova",2,8,1,1.0,0.4615,standard_meta_comp,0.6325
100 Thieves,PEARL,"astra,chamber,fade,neon,phoenix",1,7,2,1.0,0.5385,standard_meta_comp,0.4472
100 Thieves,SPLIT,"fade,omen,raze,sage,viper",1,1,1,1.0,1.0,team_signature_comp,0.4472
All Gamers,BIND,"brimstone,neon,skye,viper,waylay",3,14,1,0.75,0.0,standard_meta_comp,0.7746
All Gamers,BIND,"brimstone,gekko,skye,viper,waylay",1,1,1,0.25,1.0,rare_comp,0.4472
All Gamers,BREEZE,"astra,neon,sova,viper,waylay",2,2,1,1.0,0.9231,team_signature_comp,0.6325
All Gamers,HAVEN,"cypher,neon,omen,skye,waylay",2,2,3,1.0,0.9231,team_signature_comp,0.6325
All Gamers,LOTUS,"cypher,fade,neon,omen,waylay",4,1,1,1.0,1.0,team_signature_comp,0.8944
All Gamers,PEARL,"astra,chamber,fade,neon,phoenix",1,7,2,0.5,0.5385,standard_meta_comp,0.4472
All Gamers,PEARL,"astra,fade,killjoy,neon,waylay",1,3,1,0.5,0.8462,map_specific_comp,0.4472
All Gamers,SPLIT,"neon,omen,skye,viper,waylay",2,10,2,1.0,0.3077,standard_meta_comp,0.6325
BBL Esports,BREEZE,"astra,jett,kayo,sova,viper",1,4,1,0.5,0.7692,standard_meta_comp,0.4472
BBL Esports,BREEZE,"jett,neon,omen,sova,viper",1,4,1,0.5,0.7692,standard_meta_comp,0.4472
BBL Esports,HAVEN,"breach,cypher,jett,omen,sova",2,1,1,1.0,1.0,team_signature_comp,0.6325
BBL Esports,LOTUS,"fade,neon,omen,raze,vyse",2,7,1,1.0,0.5385,standard_meta_comp,0.6325
BBL Esports,PEARL,"astra,cypher,neon,sova,waylay",1,1,1,1.0,1.0,team_signature_comp,0.4472
BBL Esports,SPLIT,"astra,fade,neon,raze,vyse",1,2,1,0.3333,0.9231,map_specific_comp,0.4472
BBL Esports,SPLIT,"jett,omen,raze,skye,viper",1,3,1,0.3333,0.8462,map_specific_comp,0.4472
BBL Esports,SPLIT,"neon,omen,skye,viper,waylay",1,10,2,0.3333,0.3077,standard_meta_comp,0.4472
Bilibili Gaming,BIND,"astra,neon,skye,viper,waylay",1,3,3,0.5,0.8462,standard_meta_comp,0.4472
Bilibili Gaming,BIND,"brimstone,fade,kayo,raze,viper",1,1,1,0.5,1.0,team_signature_comp,0.4472
Bilibili Gaming,BREEZE,"astra,jett,neon,sova,viper",1,1,1,0.5,1.0,team_signature_comp,0.4472
Bilibili Gaming,BREEZE,"chamber,neon,omen,skye,viper",1,1,1,0.5,1.0,team_signature_comp,0.4472
Bilibili Gaming,FRACTURE,"brimstone,cypher,neon,tejo,waylay",3,1,1,1.0,1.0,team_signature_comp,0.7746
Bilibili Gaming,HAVEN,"cypher,neon,omen,sova,waylay",1,6,1,1.0,0.6154,standard_meta_comp,0.4472
Bilibili Gaming,LOTUS,"fade,killjoy,omen,raze,viper",2,2,1,1.0,0.9231,team_signature_comp,0.6325
Bilibili Gaming,PEARL,"astra,killjoy,neon,phoenix,tejo",3,1,1,1.0,1.0,team_signature_comp,0.7746
Cloud9,HAVEN,"killjoy,neon,omen,sova,viper",2,11,1,1.0,0.2308,standard_meta_comp,0.6325
Cloud9,PEARL,"astra,chamber,neon,skye,tejo",1,1,1,0.5,1.0,team_signature_comp,0.4472
Cloud9,PEARL,"astra,neon,skye,tejo,vyse",1,1,1,0.5,1.0,team_signature_comp,0.4472
Cloud9,SPLIT,"neon,omen,skye,viper,vyse",1,1,1,1.0,1.0,team_signature_comp,0.4472
DetonatioN FocusMe,BIND,"brimstone,neon,skye,viper,waylay",2,14,1,1.0,0.0,standard_meta_comp,0.6325
DetonatioN FocusMe,FRACTURE,"breach,brimstone,cypher,neon,tejo",1,4,1,1.0,0.7692,standard_meta_comp,0.4472
DetonatioN FocusMe,HAVEN,"cypher,jett,neon,omen,skye",1,1,1,1.0,1.0,team_signature_comp,0.4472
DetonatioN FocusMe,LOTUS,"fade,neon,omen,raze,vyse",2,7,1,0.6667,0.5385,standard_meta_comp,0.6325
DetonatioN FocusMe,LOTUS,"fade,iso,neon,omen,viper",1,1,1,0.3333,1.0,map_specific_comp,0.4472
DetonatioN FocusMe,PEARL,"astra,killjoy,sova,tejo,waylay",3,3,1,1.0,0.8462,map_specific_comp,0.7746
Dragon Ranger Gaming,BIND,"brimstone,cypher,neon,skye,waylay",1,7,2,0.5,0.5385,standard_meta_comp,0.4472
Dragon Ranger Gaming,BIND,"brimstone,miks,neon,skye,waylay",1,1,1,0.5,1.0,team_signature_comp,0.4472
Dragon Ranger Gaming,BREEZE,"astra,neon,omen,skye,waylay",3,1,1,0.6,1.0,team_signature_comp,0.7746
Dragon Ranger Gaming,BREEZE,"astra,neon,skye,viper,waylay",2,3,3,0.4,0.8462,standard_meta_comp,0.6325
Dragon Ranger Gaming,HAVEN,"cypher,neon,omen,skye,waylay",2,2,3,1.0,0.9231,team_signature_comp,0.6325
Dragon Ranger Gaming,LOTUS,"cypher,neon,omen,skye,waylay",3,2,3,0.75,0.9231,team_signature_comp,0.7746
Dragon Ranger Gaming,LOTUS,"miks,neon,omen,skye,waylay",1,1,1,0.25,1.0,rare_comp,0.4472
Dragon Ranger Gaming,PEARL,"astra,neon,skye,vyse,waylay",1,1,1,1.0,1.0,team_signature_comp,0.4472
Dragon Ranger Gaming,SPLIT,"cypher,neon,omen,skye,waylay",1,2,3,1.0,0.9231,team_signature_comp,0.4472
EDward Gaming,BIND,"brimstone,gekko,kayo,viper,waylay",1,1,1,1.0,1.0,team_signature_comp,0.4472
EDward Gaming,BREEZE,"harbor,jett,kayo,sova,viper",2,4,1,1.0,0.7692,standard_meta_comp,0.6325
EDward Gaming,FRACTURE,"brimstone,cypher,neon,skye,waylay",3,7,2,1.0,0.5385,standard_meta_comp,0.7746
EDward Gaming,HAVEN,"chamber,fade,neon,omen,phoenix",2,2,1,0.6667,0.9231,team_signature_comp,0.6325
EDward Gaming,HAVEN,"cypher,neon,omen,sova,waylay",1,6,1,0.3333,0.6154,standard_meta_comp,0.4472
EDward Gaming,LOTUS,"cypher,fade,omen,phoenix,raze",4,1,1,1.0,1.0,team_signature_comp,0.8944
EDward Gaming,SPLIT,"neon,omen,skye,viper,waylay",2,10,2,1.0,0.3077,standard_meta_comp,0.6325
ENVY,BIND,"brimstone,chamber,neon,skye,viper",1,4,1,1.0,0.7692,standard_meta_comp,0.4472
ENVY,BREEZE,"harbor,iso,neon,sova,viper",1,3,1,1.0,0.8462,map_specific_comp,0.4472
ENVY,FRACTURE,"breach,brimstone,neon,skye,veto",1,1,1,1.0,1.0,team_signature_comp,0.4472
ENVY,HAVEN,"astra,chamber,neon,phoenix,sova",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
ENVY,LOTUS,"fade,neon,omen,veto,viper",1,2,2,1.0,0.9231,team_signature_comp,0.4472
ENVY,PEARL,"astra,chamber,neon,phoenix,sova",1,3,2,0.5,0.8462,standard_meta_comp,0.4472
ENVY,PEARL,"astra,sova,tejo,veto,waylay",1,1,1,0.5,1.0,team_signature_comp,0.4472
ENVY,SPLIT,"jett,omen,raze,skye,viper",1,3,1,1.0,0.8462,map_specific_comp,0.4472
Eternal Fire,BIND,"brimstone,neon,skye,viper,vyse",1,2,1,0.5,0.9231,team_signature_comp,0.4472
Eternal Fire,BIND,"brimstone,neon,skye,viper,waylay",1,14,1,0.5,0.0,standard_meta_comp,0.4472
Eternal Fire,BREEZE,"astra,cypher,jett,kayo,sova",1,1,1,1.0,1.0,team_signature_comp,0.4472
Eternal Fire,FRACTURE,"brimstone,cypher,neon,skye,tejo",1,2,1,1.0,0.9231,team_signature_comp,0.4472
Eternal Fire,LOTUS,"fade,neon,omen,raze,viper",2,5,2,0.6667,0.6923,standard_meta_comp,0.6325
Eternal Fire,LOTUS,"neon,omen,raze,skye,veto",1,1,1,0.3333,1.0,map_specific_comp,0.4472
Eternal Fire,PEARL,"astra,cypher,fade,neon,phoenix",1,4,1,1.0,0.7692,standard_meta_comp,0.4472
Eternal Fire,SPLIT,"astra,fade,neon,raze,viper",1,3,1,0.5,0.8462,map_specific_comp,0.4472
Eternal Fire,SPLIT,"fade,neon,omen,raze,viper",1,5,2,0.5,0.6923,standard_meta_comp,0.4472
Evil Geniuses,BREEZE,"harbor,kayo,neon,sova,viper",1,2,1,1.0,0.9231,team_signature_comp,0.4472
Evil Geniuses,HAVEN,"killjoy,neon,omen,sova,viper",2,11,1,1.0,0.2308,standard_meta_comp,0.6325
Evil Geniuses,LOTUS,"fade,neon,omen,viper,vyse",1,8,2,1.0,0.4615,standard_meta_comp,0.4472
Evil Geniuses,PEARL,"astra,killjoy,neon,sova,waylay",1,1,1,1.0,1.0,team_signature_comp,0.4472
FNATIC,BIND,"brimstone,neon,skye,viper,waylay",2,14,1,1.0,0.0,standard_meta_comp,0.6325
FNATIC,BREEZE,"harbor,kayo,neon,sova,viper",2,2,1,0.6667,0.9231,team_signature_comp,0.6325
FNATIC,BREEZE,"harbor,iso,neon,sova,viper",1,3,1,0.3333,0.8462,map_specific_comp,0.4472
FNATIC,HAVEN,"cypher,neon,omen,phoenix,sova",1,8,1,1.0,0.4615,standard_meta_comp,0.4472
FNATIC,LOTUS,"fade,killjoy,neon,omen,viper",1,3,1,0.5,0.8462,map_specific_comp,0.4472
FNATIC,LOTUS,"fade,killjoy,omen,viper,waylay",1,3,1,0.5,0.8462,map_specific_comp,0.4472
FNATIC,SPLIT,"astra,neon,raze,skye,viper",2,1,1,1.0,1.0,team_signature_comp,0.6325
FULL SENSE,BIND,"brimstone,neon,skye,viper,waylay",1,14,1,1.0,0.0,standard_meta_comp,0.4472
FULL SENSE,FRACTURE,"brimstone,cypher,neon,skye,waylay",2,7,2,1.0,0.5385,standard_meta_comp,0.6325
FULL SENSE,HAVEN,"cypher,deadlock,omen,skye,waylay",2,3,2,1.0,0.8462,standard_meta_comp,0.6325
FULL SENSE,LOTUS,"fade,neon,omen,phoenix,vyse",1,1,1,1.0,1.0,team_signature_comp,0.4472
FULL SENSE,PEARL,"astra,cypher,fade,neon,phoenix",2,4,1,1.0,0.7692,standard_meta_comp,0.6325
FULL SENSE,SPLIT,"cypher,deadlock,omen,skye,waylay",1,3,2,1.0,0.8462,standard_meta_comp,0.4472
FURIA,HAVEN,"cypher,neon,omen,phoenix,sova",1,8,1,0.5,0.4615,standard_meta_comp,0.4472
FURIA,HAVEN,"killjoy,neon,omen,sova,viper",1,11,1,0.5,0.2308,standard_meta_comp,0.4472
FURIA,LOTUS,"fade,neon,omen,viper,vyse",2,8,2,1.0,0.4615,standard_meta_comp,0.6325
FURIA,PEARL,"astra,fade,killjoy,neon,phoenix",2,5,1,1.0,0.6923,standard_meta_comp,0.6325
