event,map,match_id,team,opponent,agent
americas_stage_1,LOTUS,americas_stage_1_lotus_envy_loud,ENVY,LOUD,neon
americas_stage_1,LOTUS,americas_stage_1_lotus_envy_loud,ENVY,LOUD,viper
americas_stage_1,LOTUS,americas_stage_1_lotus_envy_loud,ENVY,LOUD,omen
americas_stage_1,LOTUS,americas_stage_1_lotus_envy_loud,ENVY,LOUD,fade
americas_stage_1,LOTUS,americas_stage_1_lotus_envy_loud,ENVY,LOUD,veto
americas_stage_1,LOTUS,americas_stage_1_lotus_g2_esports_mibr,G2 Esports,MIBR,neon
americas_stage_1,LOTUS,americas_stage_1_lotus_g2_esports_mibr,G2 Esports,MIBR,omen
americas_stage_1,LOTUS,americas_stage_1_lotus_g2_esports_mibr,G2 Esports,MIBR,fade
americas_stage_1,LOTUS,americas_stage_1_lotus_g2_esports_mibr,G2 Esports,MIBR,vyse
americas_stage_1,LOTUS,americas_stage_1_lotus_g2_esports_mibr,G2 Esports,MIBR,harbor
americas_stage_1,LOTUS,americas_stage_1_lotus_envy_loud,LOUD,ENVY,viper
americas_stage_1,LOTUS,americas_stage_1_lotus_envy_loud,LOUD,ENVY,omen
americas_stage_1,LOTUS,americas_stage_1_lotus_envy_loud,LOUD,ENVY,fade
americas_stage_1,LOTUS,americas_stage_1_lotus_envy_loud,LOUD,ENVY,vyse
americas_stage_1,LOTUS,americas_stage_1_lotus_envy_loud,LOUD,ENVY,raze
americas_stage_1,LOTUS,americas_stage_1_lotus_evil_geniuses_furia,FURIA,Evil Geniuses,neon
americas_stage_1,LOTUS,americas_stage_1_lotus_evil_geniuses_furia,FURIA,Evil Geniuses,viper
americas_stage_1,LOTUS,americas_stage_1_lotus_evil_geniuses_furia,FURIA,Evil Geniuses,omen
americas_stage_1,LOTUS,americas_stage_1_lotus_evil_geniuses_furia,FURIA,Evil Geniuses,fade
americas_stage_1,LOTUS,americas_stage_1_lotus_evil_geniuses_furia,FURIA,Evil Geniuses,vyse
americas_stage_1,LOTUS,americas_stage_1_lotus_furia_kr_esports,FURIA,KRÜ Esports,neon
americas_stage_1,LOTUS,americas_stage_1_lotus_furia_kr_esports,FURIA,KRÜ Esports,viper
