event,map,maps_played,atk_win_rate,def_win_rate,agent,pick_rate
americas_stage_1,All Maps,35,0.5,0.5,neon,0.83
americas_stage_1,All Maps,35,0.5,0.5,viper,0.54
americas_stage_1,All Maps,35,0.5,0.5,omen,0.53
americas_stage_1,All Maps,35,0.5,0.5,sova,0.43
americas_stage_1,All Maps,35,0.5,0.5,fade,0.4
americas_stage_1,All Maps,35,0.5,0.5,vyse,0.36
americas_stage_1,All Maps,35,0.5,0.5,astra,0.33
americas_stage_1,All Maps,35,0.5,0.5,phoenix,0.23
americas_stage_1,All Maps,35,0.5,0.5,chamber,0.17
americas_stage_1,All Maps,35,0.5,0.5,killjoy,0.16
americas_stage_1,All Maps,35,0.5,0.5,skye,0.16
americas_stage_1,All Maps,35,0.5,0.5,raze,0.14
americas_stage_1,All Maps,35,0.5,0.5,harbor,0.14
americas_stage_1,All Maps,35,0.5,0.5,tejo,0.09
americas_stage_1,All Maps,35,0.5,0.5,brimstone,0.09
americas_stage_1,All Maps,35,0.5,0.5,cypher,0.07
americas_stage_1,All Maps,35,0.5,0.5,kayo,0.07
americas_stage_1,All Maps,35,0.5,0.5,veto,0.06
americas_stage_1,All Maps,35,0.5,0.5,jett,0.06
americas_stage_1,All Maps,35,0.5,0.5,waylay,0.06
americas_stage_1,All Maps,35,0.5,0.5,breach,0.03
americas_stage_1,All Maps,35,0.5,0.5,iso,0.03
americas_stage_1,All Maps,35,0.5,0.5,sage,0.03
americas_stage_1,All Maps,35,0.5,0.5,deadlock,0.01
americas_stage_1,All Maps,35,0.5,0.5,miks,0.0
americas_stage_1,All Maps,35,0.5,0.5,reyna,0.0
americas_stage_1,All Maps,35,0.5,0.5,gekko,0.0
americas_stage_1,All Maps,35,0.5,0.5,clove,0.0
americas_stage_1,All Maps,35,0.5,0.5,yoru,0.0
americas_stage_1,Haven,8,0.47,0.53,neon,0.94
americas_stage_1,Haven,8,0.47,0.53,viper,0.5
americas_stage_1,Haven,8,0.47,0.53,omen,0.81
americas_stage_1,Haven,8,0.47,0.53,sova,0.81
americas_stage_1,Haven,8,0.47,0.53,fade,0.19
americas_stage_1,Haven,8,0.47,0.53,vyse,0.19
americas_stage_1,Haven,8,0.47,0.53,astra,0.19
americas_stage_1,Haven,8,0.47,0.53,phoenix,0.5
americas_stage_1,Haven,8,0.47,0.53,chamber,0.19
americas_stage_1,Haven,8,0.47,0.53,killjoy,0.38
americas_stage_1,Haven,8,0.47,0.53,skye,0.0
americas_stage_1,Haven,8,0.47,0.53,raze,0.0
americas_stage_1,Haven,8,0.47,0.53,harbor,0.0
americas_stage_1,Haven,8,0.47,0.53,tejo,0.0
americas_stage_1,Haven,8,0.47,0.53,brimstone,0.0
americas_stage_1,Haven,8,0.47,0.53,cypher,0.25
americas_stage_1,Haven,8,0.47,0.53,kayo,0.0
americas_stage_1,Haven,8,0.47,0.53,veto,0.0
americas_stage_1,Haven,8,0.47,0.53,jett,0.06
americas_stage_1,Haven,8,0.47,0.53,waylay,0.0
americas_stage_1,Haven,8,0.47,0.53,breach,0.0
americas_stage_1,Haven,8,0.47,0.53,iso,0.0
americas_stage_1,Haven,8,0.47,0.53,sage,0.0
americas_stage_1,Haven,8,0.47,0.53,deadlock,0.0
americas_stage_1,Haven,8,0.47,0.53,miks,0.0
americas_stage_1,Haven,8,0.47,0.53,reyna,0.0
americas_stage_1,Haven,8,0.47,0.53,gekko,0.0
americas_stage_1,Haven,8,0.47,0.53,clove,0.0
americas_stage_1,Haven,8,0.47,0.53,yoru,0.0
americas_stage_1,Pearl,7,0.56,0.44,neon,0.86
americas_stage_1,Pearl,7,0.56,0.44,viper,0.0
americas_stage_1,Pearl,7,0.56,0.44,omen,0.0
americas_stage_1,Pearl,7,0.56,0.44,sova,0.64
americas_stage_1,Pearl,7,0.56,0.44,fade,0.21
americas_stage_1,Pearl,7,0.56,0.44,vyse,0.14
americas_stage_1,Pearl,7,0.56,0.44,astra,1.0
americas_stage_1,Pearl,7,0.56,0.44,phoenix,0.36
americas_stage_1,Pearl,7,0.56,0.44,chamber,0.43
americas_stage_1,Pearl,7,0.56,0.44,killjoy,0.36
americas_stage_1,Pearl,7,0.56,0.44,skye,0.14
