player,team,agents,inferred_role,role_confidence,rounds,source_url,event_id,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs_pct,vct_region,event_name,event_stage,raw_role,team_role,flex_score,distinct_roles,role_scores,official_role_scores,agent_shares,role_explanation,player_key
Neon,LEV,"chamber,omen,brimstone",Controller,0.667,543,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.25,226.6,1.45,77.0,147.1,0.83,0.27,0.13,0.09,25.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Controller,Controller,0.35,2.0,"{""Controller"": 0.667, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.333}","{""Controller"": 0.667, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.333}","{""brimstone"": 0.333, ""chamber"": 0.333, ""omen"": 0.333}",Chamber treated as Sentinel unless the rest of the pool is exclusively Duelist. Dominant effective role is Controller (67%). Per-agent rounds were unavailable; agent pool was weighted equally.,Neon__LEV
erde,LOUD,"omen,kayo,brimstone",Controller,0.667,159,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.13,212.6,1.1,73.0,139.1,0.76,0.31,0.09,0.1,26.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Controller,Controller,0.35,2.0,"{""Controller"": 0.667, ""Duelist"": 0.0, ""Initiator"": 0.333, ""Sentinel"": 0.0}","{""Controller"": 0.667, ""Duelist"": 0.0, ""Initiator"": 0.333, ""Sentinel"": 0.0}","{""brimstone"": 0.333, ""kayo"": 0.333, ""omen"": 0.333}",Dominant effective role is Controller (67%). Per-agent rounds were unavailable; agent pool was weighted equally.,erde__LOUD
saadhak,KRÜ,"omen,brimstone,harbor",Controller,1.0,335,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.11,211.2,1.11,71.0,135.2,0.74,0.38,0.11,0.11,24.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Controller,Controller,0.0,1.0,"{""Controller"": 1.0, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""Controller"": 1.0, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""brimstone"": 0.333, ""harbor"": 0.333, ""omen"": 0.333}",Only one effective role is present: locked as Controller. Per-agent rounds were unavailable; agent pool was weighted equally.,saadhak__KRÜ
keiko,NRG,"killjoy,omen,jett",Controller,0.333,489,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.09,218.3,1.12,72.0,143.6,0.76,0.26,0.12,0.11,30.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Flex,Controller,1.0,3.0,"{""Controller"": 0.333, ""Duelist"": 0.333, ""Initiator"": 0.0, ""Sentinel"": 0.333}","{""Controller"": 0.333, ""Duelist"": 0.333, ""Initiator"": 0.0, ""Sentinel"": 0.333}","{""jett"": 0.333, ""killjoy"": 0.333, ""omen"": 0.333}","Mixed Duelist + utility pool: kept as Flex by default instead of true Duelist. Per-agent rounds were unavailable; agent pool was weighted equally. Team context assigned Controller to keep the mandatory macro roles covered (Duelist, Controller/Smoker, Initiator, Sentinel); previous role was Flex.",keiko__NRG
valyn,G2,"harbor,brimstone,astra",Controller,1.0,608,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.08,198.9,1.11,74.0,126.6,0.72,0.37,0.08,0.08,26.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Controller,Controller,0.0,1.0,"{""Controller"": 1.0, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""Controller"": 1.0, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""astra"": 0.333, ""brimstone"": 0.333, ""harbor"": 0.333}",Only one effective role is present: locked as Controller. Per-agent rounds were unavailable; agent pool was weighted equally.,valyn__G2
bang,100T,"omen,harbor,astra",Controller,1.0,440,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.08,188.5,1.07,75.0,117.6,0.69,0.41,0.06,0.05,33.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Controller,Controller,0.0,1.0,"{""Controller"": 1.0, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""Controller"": 1.0, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""astra"": 0.333, ""harbor"": 0.333, ""omen"": 0.333}",Only one effective role is present: locked as Controller. Per-agent rounds were unavailable; agent pool was weighted equally.,bang__100T
Reduxx,SEN,"omen,iso,raze",Controller,0.333,274,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.06,218.3,1.06,71.0,139.6,0.78,0.24,0.09,0.07,27.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Flex,Controller,0.35,2.0,"{""Controller"": 0.333, ""Duelist"": 0.667, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""Controller"": 0.333, ""Duelist"": 0.667, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""iso"": 0.333, ""omen"": 0.333, ""raze"": 0.333}","Mixed Duelist + utility pool: kept as Flex by default instead of true Duelist. Per-agent rounds were unavailable; agent pool was weighted equally. Team context assigned Controller to keep the mandatory macro roles covered (Duelist, Controller/Smoker, Initiator, Sentinel); previous role was Flex.",Reduxx__SEN
Notexxd,C9,omen,Controller,1.0,41,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.02,196.0,1.0,80.0,122.7,0.71,0.39,0.05,0.05,23.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Controller,Controller,0.0,1.0,"{""Controller"": 1.0, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""Controller"": 1.0, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""omen"": 1.0}",Only one effective role is present: locked as Controller. Per-agent rounds were unavailable; agent pool was weighted equally.,Notexxd__C9
Mazino,MIBR,"omen,astra,harbor",Controller,1.0,323,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,0.94,186.5,0.9,70.0,121.7,0.63,0.46,0.07,0.1,22.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Controller,Controller,0.0,1.0,"{""Controller"": 1.0, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""Controller"": 1.0, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""astra"": 0.333, ""harbor"": 0.333, ""omen"": 0.333}",Only one effective role is present: locked as Controller. Per-agent rounds were unavailable; agent pool was weighted equally.,Mazino__MIBR
nerve,FUR,"astra,viper,omen",Controller,0.667,360,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,0.92,169.5,0.89,71.0,115.3,0.59,0.3,0.04,0.07,28.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Controller,Controller,0.35,2.0,"{""Controller"": 0.667, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.333}","{""Controller"": 1.0, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""astra"": 0.333, ""omen"": 0.333, ""viper"": 0.333}","Viper treated as Sentinel-side zone-control, not as Controller, for competitive-role inference. Dominant effective role is Controller (67%). Per-agent rounds were unavailable; agent pool was weighted equally.",nerve__FUR
supamen,EG,"viper,astra,brimstone",Controller,0.667,259,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,0.88,172.0,0.85,68.0,116.8,0.62,0.25,0.08,0.09,34.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Controller,Controller,0.35,2.0,"{""Controller"": 0.667, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.333}","{""Controller"": 1.0, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""astra"": 0.333, ""brimstone"": 0.333, ""viper"": 0.333}","Viper treated as Sentinel-side zone-control, not as Controller, for competitive-role inference. Dominant effective role is Controller (67%). Per-agent rounds were unavailable; agent pool was weighted equally.",supamen__EG
Eggsterr,ENVY,"omen,veto,harbor",Controller,0.667,231,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,0.72,174.4,0.71,66.0,107.5,0.57,0.27,0.13,0.11,30.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Controller,Controller,0.15,1.0,"{""Controller"": 0.667, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""Controller"": 0.667, ""Duelist"": 0.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""harbor"": 0.333, ""omen"": 0.333}",Only one effective role is present: locked as Controller. Per-agent rounds were unavailable; agent pool was weighted equally.,Eggsterr__ENVY
aspas,MIBR,"raze,jett",Duelist,1.0,323,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.09,212.3,1.11,72.0,141.7,0.76,0.16,0.14,0.08,25.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Duelist,Duelist,0.0,1.0,"{""Controller"": 0.0, ""Duelist"": 1.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""Controller"": 0.0, ""Duelist"": 1.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""jett"": 0.5, ""raze"": 0.5}",Only one effective role is present: locked as Duelist. Per-agent rounds were unavailable; agent pool was weighted equally.,aspas__MIBR
Sato,LEV,"phoenix,neon,waylay",Duelist,1.0,543,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.06,223.6,1.09,74.0,144.9,0.78,0.34,0.14,0.09,34.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Duelist,Duelist,0.0,1.0,"{""Controller"": 0.0, ""Duelist"": 1.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""Controller"": 0.0, ""Duelist"": 1.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""neon"": 0.333, ""phoenix"": 0.333, ""waylay"": 0.333}",Only one effective role is present: locked as Duelist. Per-agent rounds were unavailable; agent pool was weighted equally.,Sato__LEV
OXY,C9,"neon,raze",Duelist,1.0,253,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.05,237.6,1.04,70.0,149.4,0.83,0.19,0.16,0.21,24.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Duelist,Duelist,0.0,1.0,"{""Controller"": 0.0, ""Duelist"": 1.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""Controller"": 0.0, ""Duelist"": 1.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""neon"": 0.5, ""raze"": 0.5}",Only one effective role is present: locked as Duelist. Per-agent rounds were unavailable; agent pool was weighted equally.,OXY__C9
dgzin,EG,"neon,chamber",Duelist,1.0,259,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.03,223.8,1.08,68.0,143.6,0.83,0.11,0.18,0.2,36.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Duelist,Duelist,0.0,1.0,"{""Controller"": 0.0, ""Duelist"": 1.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""Controller"": 0.0, ""Duelist"": 0.5, ""Initiator"": 0.0, ""Sentinel"": 0.5}","{""chamber"": 0.5, ""neon"": 0.5}","Pure Duelist/Chamber pool: Chamber counted as Duelist-adjacent, so the player stays Duelist. Only one effective role is present: locked as Duelist. Per-agent rounds were unavailable; agent pool was weighted equally.",dgzin__EG
Timotino,100T,"phoenix,jett,raze",Duelist,1.0,440,https://www.vlr.gg/event/stats/2860/vct-2026-americas-stage-1?timespan=all&min_rounds=0&maps=all&agents=all,2860,1.01,224.9,1.02,68.0,145.3,0.77,0.25,0.19,0.18,23.0,Americas,VCT 2026 Americas Stage 1,Stage 1,Duelist,Duelist,0.0,1.0,"{""Controller"": 0.0, ""Duelist"": 1.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""Controller"": 0.0, ""Duelist"": 1.0, ""Initiator"": 0.0, ""Sentinel"": 0.0}","{""jett"": 0.333, ""phoenix"": 0.333, ""raze"": 0.333}",Only one effective role is present: locked as Duelist. Per-agent rounds were unavailable; agent pool was weighted equally.,Timotino__100T
