event,map,team,opponent,agent
americas_stage_1,LOTUS,ENVY,LOUD,neon
americas_stage_1,LOTUS,ENVY,LOUD,viper
americas_stage_1,LOTUS,ENVY,LOUD,omen
americas_stage_1,LOTUS,ENVY,LOUD,fade
americas_stage_1,LOTUS,ENVY,LOUD,veto
americas_stage_1,LOTUS,G2 Esports,MIBR,neon
americas_stage_1,LOTUS,G2 Esports,MIBR,omen
americas_stage_1,LOTUS,G2 Esports,MIBR,fade
americas_stage_1,LOTUS,G2 Esports,MIBR,vyse
americas_stage_1,LOTUS,G2 Esports,MIBR,harbor
americas_stage_1,LOTUS,LOUD,ENVY,viper
americas_stage_1,LOTUS,LOUD,ENVY,omen
americas_stage_1,LOTUS,LOUD,ENVY,fade
americas_stage_1,LOTUS,LOUD,ENVY,vyse
americas_stage_1,LOTUS,LOUD,ENVY,raze
americas_stage_1,LOTUS,FURIA,Evil Geniuses,neon
americas_stage_1,LOTUS,FURIA,Evil Geniuses,viper
americas_stage_1,LOTUS,FURIA,Evil Geniuses,omen
americas_stage_1,LOTUS,FURIA,Evil Geniuses,fade
americas_stage_1,LOTUS,FURIA,Evil Geniuses,vyse
americas_stage_1,LOTUS,FURIA,KRÜ Esports,neon
americas_stage_1,LOTUS,FURIA,KRÜ Esports,viper
americas_stage_1,LOTUS,FURIA,KRÜ Esports,omen
americas_stage_1,LOTUS,FURIA,KRÜ Esports,fade
americas_stage_1,LOTUS,FURIA,KRÜ Esports,vyse
americas_stage_1,LOTUS,KRÜ Esports,Sentinels,neon
americas_stage_1,LOTUS,KRÜ Esports,Sentinels,viper
americas_stage_1,LOTUS,KRÜ Esports,Sentinels,omen
americas_stage_1,LOTUS,KRÜ Esports,Sentinels,fade
americas_stage_1,LOTUS,KRÜ Esports,Sentinels,vyse
americas_stage_1,LOTUS,KRÜ Esports,NRG,neon
americas_stage_1,LOTUS,KRÜ Esports,NRG,viper
americas_stage_1,LOTUS,KRÜ Esports,NRG,omen
americas_stage_1,LOTUS,KRÜ Esports,NRG,fade
americas_stage_1,LOTUS,KRÜ Esports,NRG,vyse
americas_stage_1,LOTUS,KRÜ Esports,FURIA,neon
americas_stage_1,LOTUS,KRÜ Esports,FURIA,viper
americas_stage_1,LOTUS,KRÜ Esports,FURIA,omen
americas_stage_1,LOTUS,KRÜ Esports,FURIA,fade
americas_stage_1,LOTUS,KRÜ Esports,FURIA,vyse
americas_stage_1,LOTUS,Evil Geniuses,FURIA,neon
americas_stage_1,LOTUS,Evil Geniuses,FURIA,viper
americas_stage_1,LOTUS,Evil Geniuses,FURIA,omen
americas_stage_1,LOTUS,Evil Geniuses,FURIA,fade
americas_stage_1,LOTUS,Evil Geniuses,FURIA,vyse
americas_stage_1,LOTUS,NRG,KRÜ Esports,neon
americas_stage_1,LOTUS,NRG,KRÜ Esports,viper
americas_stage_1,LOTUS,NRG,KRÜ Esports,omen
americas_stage_1,LOTUS,NRG,KRÜ Esports,fade
americas_stage_1,LOTUS,NRG,KRÜ Esports,vyse
americas_stage_1,LOTUS,Sentinels,KRÜ Esports,viper
americas_stage_1,LOTUS,Sentinels,KRÜ Esports,omen
americas_stage_1,LOTUS,Sentinels,KRÜ Esports,fade
americas_stage_1,LOTUS,Sentinels,KRÜ Esports,raze
americas_stage_1,LOTUS,Sentinels,KRÜ Esports,veto
americas_stage_1,LOTUS,MIBR,G2 Esports,neon
americas_stage_1,LOTUS,MIBR,G2 Esports,omen
americas_stage_1,LOTUS,MIBR,G2 Esports,fade
americas_stage_1,LOTUS,MIBR,G2 Esports,vyse
americas_stage_1,LOTUS,MIBR,G2 Esports,raze
americas_stage_1,BREEZE,ENVY,LOUD,neon
americas_stage_1,BREEZE,ENVY,LOUD,viper
americas_stage_1,BREEZE,ENVY,LOUD,sova
americas_stage_1,BREEZE,ENVY,LOUD,harbor
americas_stage_1,BREEZE,ENVY,LOUD,iso
americas_stage_1,BREEZE,G2 Esports,LEVIATÁN,neon
americas_stage_1,BREEZE,G2 Esports,LEVIATÁN,sova
americas_stage_1,BREEZE,G2 Esports,LEVIATÁN,vyse
americas_stage_1,BREEZE,G2 Esports,LEVIATÁN,astra
americas_stage_1,BREEZE,G2 Esports,LEVIATÁN,harbor
americas_stage_1,BREEZE,LOUD,ENVY,sova
americas_stage_1,BREEZE,LOUD,ENVY,astra
americas_stage_1,BREEZE,LOUD,ENVY,harbor
americas_stage_1,BREEZE,LOUD,ENVY,kayo
americas_stage_1,BREEZE,LOUD,ENVY,jett
americas_stage_1,BREEZE,LEVIATÁN,G2 Esports,neon
americas_stage_1,BREEZE,LEVIATÁN,G2 Esports,viper
americas_stage_1,BREEZE,LEVIATÁN,G2 Esports,omen
americas_stage_1,BREEZE,LEVIATÁN,G2 Esports,sova
americas_stage_1,BREEZE,LEVIATÁN,G2 Esports,chamber
