event,raw_map,raw_maps_played,raw_atk_win_rate,raw_def_win_rate,agent,raw_pick_rate
americas_stage_1,,35,50%,50%,neon,83%
americas_stage_1,,35,50%,50%,viper,54%
americas_stage_1,,35,50%,50%,omen,53%
americas_stage_1,,35,50%,50%,sova,43%
americas_stage_1,,35,50%,50%,fade,40%
americas_stage_1,,35,50%,50%,vyse,36%
americas_stage_1,,35,50%,50%,astra,33%
americas_stage_1,,35,50%,50%,phoenix,23%
americas_stage_1,,35,50%,50%,chamber,17%
americas_stage_1,,35,50%,50%,killjoy,16%
americas_stage_1,,35,50%,50%,skye,16%
americas_stage_1,,35,50%,50%,raze,14%
americas_stage_1,,35,50%,50%,harbor,14%
americas_stage_1,,35,50%,50%,tejo,9%
americas_stage_1,,35,50%,50%,brimstone,9%
americas_stage_1,,35,50%,50%,cypher,7%
americas_stage_1,,35,50%,50%,kayo,7%
americas_stage_1,,35,50%,50%,veto,6%
americas_stage_1,,35,50%,50%,jett,6%
americas_stage_1,,35,50%,50%,waylay,6%
americas_stage_1,,35,50%,50%,breach,3%
americas_stage_1,,35,50%,50%,iso,3%
americas_stage_1,,35,50%,50%,sage,3%
americas_stage_1,,35,50%,50%,deadlock,1%
americas_stage_1,,35,50%,50%,miks,0%
americas_stage_1,,35,50%,50%,reyna,0%
americas_stage_1,,35,50%,50%,gekko,0%
americas_stage_1,,35,50%,50%,clove,0%
americas_stage_1,,35,50%,50%,yoru,0%
americas_stage_1,H Haven,8,47%,53%,neon,94%
americas_stage_1,H Haven,8,47%,53%,viper,50%
americas_stage_1,H Haven,8,47%,53%,omen,81%
americas_stage_1,H Haven,8,47%,53%,sova,81%
americas_stage_1,H Haven,8,47%,53%,fade,19%
americas_stage_1,H Haven,8,47%,53%,vyse,19%
americas_stage_1,H Haven,8,47%,53%,astra,19%
americas_stage_1,H Haven,8,47%,53%,phoenix,50%
americas_stage_1,H Haven,8,47%,53%,chamber,19%
americas_stage_1,H Haven,8,47%,53%,killjoy,38%
americas_stage_1,H Haven,8,47%,53%,skye,0%
americas_stage_1,H Haven,8,47%,53%,raze,0%
americas_stage_1,H Haven,8,47%,53%,harbor,0%
americas_stage_1,H Haven,8,47%,53%,tejo,0%
americas_stage_1,H Haven,8,47%,53%,brimstone,0%
americas_stage_1,H Haven,8,47%,53%,cypher,25%
americas_stage_1,H Haven,8,47%,53%,kayo,0%
americas_stage_1,H Haven,8,47%,53%,veto,0%
americas_stage_1,H Haven,8,47%,53%,jett,6%
americas_stage_1,H Haven,8,47%,53%,waylay,0%
americas_stage_1,H Haven,8,47%,53%,breach,0%
americas_stage_1,H Haven,8,47%,53%,iso,0%
americas_stage_1,H Haven,8,47%,53%,sage,0%
americas_stage_1,H Haven,8,47%,53%,deadlock,0%
americas_stage_1,H Haven,8,47%,53%,miks,0%
americas_stage_1,H Haven,8,47%,53%,reyna,0%
americas_stage_1,H Haven,8,47%,53%,gekko,0%
americas_stage_1,H Haven,8,47%,53%,clove,0%
americas_stage_1,H Haven,8,47%,53%,yoru,0%
americas_stage_1,P Pearl,7,56%,44%,neon,86%
americas_stage_1,P Pearl,7,56%,44%,viper,0%
americas_stage_1,P Pearl,7,56%,44%,omen,0%
americas_stage_1,P Pearl,7,56%,44%,sova,64%
americas_stage_1,P Pearl,7,56%,44%,fade,21%
americas_stage_1,P Pearl,7,56%,44%,vyse,14%
americas_stage_1,P Pearl,7,56%,44%,astra,100%
americas_stage_1,P Pearl,7,56%,44%,phoenix,36%
americas_stage_1,P Pearl,7,56%,44%,chamber,43%
americas_stage_1,P Pearl,7,56%,44%,killjoy,36%
americas_stage_1,P Pearl,7,56%,44%,skye,14%
americas_stage_1,P Pearl,7,56%,44%,raze,0%
americas_stage_1,P Pearl,7,56%,44%,harbor,7%
americas_stage_1,P Pearl,7,56%,44%,tejo,36%
americas_stage_1,P Pearl,7,56%,44%,brimstone,0%
americas_stage_1,P Pearl,7,56%,44%,cypher,0%
americas_stage_1,P Pearl,7,56%,44%,kayo,14%
americas_stage_1,P Pearl,7,56%,44%,veto,7%
americas_stage_1,P Pearl,7,56%,44%,jett,0%
americas_stage_1,P Pearl,7,56%,44%,waylay,21%
americas_stage_1,P Pearl,7,56%,44%,breach,0%
americas_stage_1,P Pearl,7,56%,44%,iso,0%
americas_stage_1,P Pearl,7,56%,44%,sage,0%
americas_stage_1,P Pearl,7,56%,44%,deadlock,0%
americas_stage_1,P Pearl,7,56%,44%,miks,0%
americas_stage_1,P Pearl,7,56%,44%,reyna,0%
americas_stage_1,P Pearl,7,56%,44%,gekko,0%
americas_stage_1,P Pearl,7,56%,44%,clove,0%
americas_stage_1,P Pearl,7,56%,44%,yoru,0%
americas_stage_1,S Split,7,47%,53%,neon,71%
americas_stage_1,S Split,7,47%,53%,viper,71%
americas_stage_1,S Split,7,47%,53%,omen,71%
americas_stage_1,S Split,7,47%,53%,sova,0%
americas_stage_1,S Split,7,47%,53%,fade,64%
americas_stage_1,S Split,7,47%,53%,vyse,57%
